country,league,home_team,home_buildUpPlaySpeed,home_buildUpPlayDribbling,home_buildUpPlayPassing,home_chanceCreationPassing,home_chanceCreationCrossing,home_chanceCreationShooting,home_defencePressure,home_defenceAggression,home_defenceTeamWidth,away_team,away_buildUpPlaySpeed,away_buildUpPlayDribbling,away_buildUpPlayPassing,away_chanceCreationPassing,away_chanceCreationCrossing,away_chanceCreationShooting,away_defencePressure,away_defenceAggression,away_defenceTeamWidth,result,reward
1,1,9987,,,,,,,,,,9993,,,,,,,,,,3,2.4
1,1,10000,,,,,,,,,,9994,,,,,,,,,,3,2.2
1,1,9984,,,,,,,,,,8635,,,,,,,,,,2,1.75
1,1,9991,,,,,,,,,,9998,,,,,,,,,,1,0.44
1,1,7947,,,,,,,,,,9985,,,,,,,,,,2,0.65
1,1,8203,,,,,,,,,,8342,,,,,,,,,,3,2.4
1,1,9999,,,,,,,,,,8571,,,,,,,,,,3,2.2
1,1,4049,,,,,,,,,,9996,,,,,,,,,,2,1.2
1,1,10001,,,,,,,,,,9986,,,,,,,,,,1,1.25
1,1,8342,,,,,,,,,,8571,,,,,,,,,,1,0.3
1,1,9985,,,,,,,,,,9986,,,,,,,,,,2,8.5
1,1,10000,,,,,,,,,,9991,,,,,,,,,,2,1.5
1,1,9994,,,,,,,,,,9998,,,,,,,,,,3,2.4
1,1,7947,,,,,,,,,,10001,,,,,,,,,,3,2.3
1,1,8203,,,,,,,,,,9999,,,,,,,,,,2,3.5
1,1,9996,,,,,,,,,,9984,,,,,,,,,,2,2
1,1,4049,,,,,,,,,,9987,,,,,,,,,,2,0.57
1,1,9993,,,,,,,,,,8635,,,,,,,,,,2,0.83
1,1,8635,,,,,,,,,,9994,,,,,,,,,,2,7.5
1,1,9998,,,,,,,,,,9996,,,,,,,,,,3,2.3
1,1,9986,,,,,,,,,,8342,,,,,,,,,,3,2.3
1,1,9984,,,,,,,,,,10000,,,,,,,,,,1,0.75
1,1,9991,,,,,,,,,,7947,,,,,,,,,,3,3.33
1,1,9999,,,,,,,,,,4049,,,,,,,,,,2,3.2
1,1,8571,,,,,,,,,,8203,,,,,,,,,,3,2.5
1,1,10001,,,,,,,,,,9987,,,,,,,,,,1,1.7
1,1,9993,,,,,,,,,,9985,,,,,,,,,,2,1.05
1,1,8342,,,,,,,,,,8635,,,,,,,,,,3,2.25
1,1,9987,,,,,,,,,,9999,,,,,,,,,,3,4.25
1,1,10000,,,,,,,,,,9993,,,,,,,,,,3,2.25
1,1,9994,,,,,,,,,,9985,,,,,,,,,,3,2.25
1,1,7947,,,,,,,,,,8571,,,,,,,,,,1,1.3
1,1,8203,,,,,,,,,,9998,,,,,,,,,,3,2.25
1,1,9996,,,,,,,,,,9986,,,,,,,,,,1,1.2
1,1,4049,,,,,,,,,,9984,,,,,,,,,,1,3.33
1,1,10001,,,,,,,,,,9991,,,,,,,,,,1,1.5
1,1,8635,,,,,,,,,,10001,,,,,,,,,,1,0.44
1,1,9985,,,,,,,,,,9996,,,,,,,,,,1,0.36
1,1,9998,,,,,,,,,,8342,,,,,,,,,,2,0.85
1,1,9986,,,,,,,,,,4049,,,,,,,,,,1,0.44
1,1,9984,,,,,,,,,,8203,,,,,,,,,,1,0.67
1,1,9991,,,,,,,,,,9987,,,,,,,,,,2,2.2
1,1,9999,,,,,,,,,,7947,,,,,,,,,,3,2.3
1,1,8571,,,,,,,,,,10000,,,,,,,,,,1,1.38
1,1,9993,,,,,,,,,,9994,,,,,,,,,,2,2.3
1,1,8342,,,,,,,,,,9993,,,,,,,,,,1,0.44
1,1,9987,,,,,,,,,,9984,,,,,,,,,,1,0.73
1,1,10000,,,,,,,,,,9986,,,,,,,,,,1,1.2
1,1,9991,,,,,,,,,,9999,,,,,,,,,,1,0.29
1,1,7947,,,,,,,,,,8635,,,,,,,,,,2,0.67
1,1,8203,,,,,,,,,,9985,,,,,,,,,,3,2.5
1,1,9996,,,,,,,,,,9994,,,,,,,,,,1,1.2
1,1,4049,,,,,,,,,,8571,,,,,,,,,,3,2.2
1,1,10001,,,,,,,,,,9998,,,,,,,,,,1,0.57
